,id,retweet_count,favorite_count
0,876484053909872640,2351,18403
1,886366144734445568,3120,20751
2,877611172832227328,79,0
3,888078434458587136,3402,21291
4,891689557279858688,8421,41265
5,879492040517615616,3105,22941
6,878604707211726852,7036,29636
7,879674319642796034,10,304
8,884876753390489601,5470,27332
9,882992080364220416,3826,23457
10,876120275196170240,4588,27395
11,889880896479866881,4845,27229
12,885518971528720385,3659,20001
13,879862464715927552,3414,21884
14,877556246731214848,3723,22279
15,890971913173991426,2007,11591
16,890006608113172480,7139,30024
17,873580283840344065,3870,23782
18,880935762899988482,2715,16678
19,891815181378084864,4051,24517
20,877201837425926144,5460,26588
21,886267009285017600,4,116
22,873337748698140672,1559,0
23,875747767867523072,4209,24720
24,889278841981685760,5225,24704
25,879415818425184262,43267,103683
26,882268110199369728,11309,43996
27,880465832366813184,6129,27938
28,887101392804085760,5808,29935
29,884162670584377345,2910,19931
30,879376492567855104,3043,16444
31,874057562936811520,3890,22276
32,875144289856114688,4835,21522
33,885528943205470208,6262,35204
34,878776093423087618,4037,19018
35,880872448815771648,3734,20846
36,885984800019947520,6595,31943
37,874434818259525634,14436,0
38,881633300179243008,7,124
39,883482846933004288,9677,44945
40,884562892145688576,4570,23792
41,889665388333682689,9778,47107
42,874680097055178752,4555,27305
43,887473957103951883,17700,67542
44,892177421306343426,6116,32564
45,884441805382717440,5518,26434
46,873213775632977920,1559,7107
47,890240255349198849,7187,31245
48,881268444196462592,5052,22610
49,891087950875897856,3035,19824
50,879130579576475649,6659,0
51,886680336477933568,4350,21961
52,878281511006478336,1258,7589
53,878404777348136964,1258,0
54,886054160059072513,104,0
55,888917238123831296,4389,28506
56,890729181411237888,18371,63956
57,881536004380872706,15570,48397
58,872967104147763200,5328,26873
59,887343217045368832,10152,32962
60,885311592912609280,18079,0
61,877316821321428993,5072,26845
62,885167619883638784,4276,21459
63,889638837579907072,4407,26567
64,876838120628539392,3268,20299
65,879050749262655488,4604,22079
66,892420643555336193,8279,37910
67,886983233522544640,7571,34397
68,876537666061221889,4547,23061
69,877736472329191424,18659,78145
70,874296783580663808,4029,25571
71,874012996292530176,10216,33930
72,888804989199671297,4175,25032
73,890609185150312448,4167,27230
74,887705289381826560,5250,29547
75,875097192612077568,5935,26892
76,875021211251597312,4628,24997
77,886258384151887873,6130,27408
78,878057613040115712,6659,41181
79,880095782870896641,4244,27050
80,887517139158093824,11384,45285
81,883117836046086144,6496,36376
82,884925521741709313,17790,75772
83,882045870035918850,4842,28737
84,883360690899218434,3609,22207
85,878316110768087041,6499,0
86,880221127280381952,4115,26476
87,883838122936631299,3364,21438
88,879008229531029506,2636,18596
89,882762694511734784,4784,27694
90,888554962724278272,3451,19405
91,882627270321602560,5936,27351
92,881666595344535552,10415,49531
93,884247878851493888,19987,71464
94,881906580714921986,3311,23811
95,886736880519319552,3194,11807
96,891327558926688256,9121,39437
97,889531135344209921,2191,14794
98,858860390427611136,8276,0
99,868639477480148993,2087,0
100,858471635011153920,4925,21646
101,870374049280663552,25986,81700
102,856330835276025856,696,0
103,855860136149123072,1052,5094
104,864197398364647424,8961,30067
105,868880397819494401,14396,64949
106,867051520902168576,7852,32014
107,855851453814013952,18186,46034
108,872620804844003328,3638,20449
109,862457590147678208,4993,20530
110,866450705531457537,35284,121530
111,866094527597207552,8374,0
112,858843525470990336,3534,15626
113,860924035999428608,830,0
114,866720684873056260,4805,19941
115,863427515083354112,97,2260
116,863553081350529029,4202,15272
117,863907417377173506,4160,20557
118,872261713294495745,6234,33662
119,854482394044301312,7080,29786
120,869227993411051520,3767,20238
121,859196978902773760,30625,90376
122,864279568663928832,3039,14584
123,869772420881756160,9956,41915
124,860184849394610176,5921,16729
125,854732716440526848,6286,23179
126,859074603037188101,13825,34051
127,864873206498414592,8729,32178
128,858107933456039936,2955,15833
129,862096992088072192,23476,74563
130,856288084350160898,17,524
131,857393404942143489,1676,5960
132,863471782782697472,2460,0
133,863432100342583297,5277,23782
134,860563773140209665,2180,7529
135,870656317836468226,2614,12253
136,870308999962521604,4121,21566
137,863079547188785154,1113,8756
138,870063196459192321,8278,36213
139,855818117272018944,5580,26966
140,865718153858494464,5623,25521
141,871762521631449091,3434,19958
142,861383897657036800,10802,36147
143,871102520638267392,5447,20647
144,870804317367881728,6145,33180
145,871166179821445120,5631,0
146,857263160327368704,4599,20184
147,860981674716409858,2180,0
148,859851578198683649,3555,15472
149,869702957897576449,6302,27916
150,867774946302451713,7319,33701
151,857989990357356544,2631,16253
152,856526610513747968,1929,11968
153,863062471531167744,2460,8518
154,855138241867124737,47,0
155,856543823941562368,2947,16417
156,871032628920680449,3776,22360
157,866686824827068416,3475,19191
158,855857698524602368,2164,11991
159,871879754684805121,11003,37358
160,855459453768019968,8432,30324
161,857029823797047296,4092,19112
162,869596645499047938,3119,15797
163,872820683541237760,3633,14473
164,865006731092295680,7698,27896
165,862831371563274240,5132,19163
166,871515927908634625,3417,19912
167,859607811541651456,1598,18676
168,856282028240666624,6475,28037
169,868552278524837888,2087,10042
170,855862651834028034,27,348
171,861005113778896900,3833,16740
172,866334964761202691,14436,52265
173,854120357044912130,7723,32520
174,862722525377298433,3552,17055
175,857746408056729600,10837,34539
176,856602993587888130,10923,0
177,857062103051644929,176,0
178,872486979161796608,8897,40031
179,861288531465048066,4193,17213
180,860276583193509888,3513,18351
181,860524505164394496,5344,23691
182,868622495443632128,5274,26483
183,859924526012018688,4136,19620
184,855245323840757760,6148,0
185,857214891891077121,18,229
186,867900495410671616,4170,23998
187,865359393868664832,5007,26361
188,870726314365509632,3,117
189,860177593139703809,31253,0
190,867421006826221569,2499,15986
191,872122724285648897,8018,33878
192,854365224396361728,4841,19207
193,867072653475098625,121,0
194,852672615818899456,2243,15242
195,837366284874571778,5649,22098
196,840632337062862849,1861,9348
197,852553447878664193,3651,16722
198,838561493054533637,1410,11392
199,849051919805034497,8921,43737
200,842115215311396866,3213,14569
201,843856843873095681,4899,22240
202,847971574464610304,448,0
203,844223788422217728,2326,14148
204,845812042753855489,9209,30333
205,842846295480000512,3813,15807
206,850753642995093505,9677,31814
207,840370681858686976,4829,17144
208,840728873075638272,17168,0
209,847617282490613760,444,7236
210,852226086759018497,7071,20467
211,853760880890318849,5986,29124
212,847157206088847362,6161,20609
213,843235543001513987,6401,22329
214,836989968035819520,2455,13295
215,844979544864018432,2722,14118
216,847978865427394560,3421,0
217,840696689258311684,1041,12799
218,837471256429613056,2445,13350
219,842535590457499648,3713,18794
220,846874817362120707,4125,20751
221,838952994649550848,4230,20456
222,842163532590374912,6148,25445
223,847842811428974592,1408,5646
224,843604394117681152,2916,17535
225,848212111729840128,3215,16838
226,842765311967449089,1352,6999
227,841320156043304961,5778,20568
228,853299958564483072,3699,15844
229,841833993020538882,16258,0
230,837110210464448512,2550,16743
231,838201503651401729,10747,0
232,837820167694528512,8374,35719
233,840698636975636481,2,185
234,847251039262605312,4507,21128
235,838916489579200512,36,0
236,850145622816686080,4001,16781
237,839990271299457024,2439,13981
238,837482249356513284,469,4004
239,852936405516943360,2080,0
240,845397057150107648,1905,7909
241,849776966551130114,7950,31324
242,848213670039564288,780,8428
243,851953902622658560,10014,0
244,852912242202992640,1904,9257
245,852311364735569921,10264,33867
246,838083903487373313,3364,18402
247,849412302885593088,3288,16337
248,845306882940190720,5687,24167
249,844973813909606400,3394,15663
250,846042936437604353,3053,16557
251,839239871831150596,6959,28380
252,841680585030541313,8223,26665
253,838085839343206401,0,147
254,838831947270979586,11771,0
255,851591660324737024,3613,16604
256,851861385021730816,23,0
257,845098359547420673,8078,0
258,838150277551247360,353,1754
259,839290600511926273,151,0
260,845677943972139009,5044,26016
261,846153765933735936,9557,32793
262,849336543269576704,1977,11753
263,849668094696017920,5179,0
264,844580511645339650,3321,17099
265,846139713627017216,10420,31964
266,853639147608842240,10499,35511
267,850380195714523136,2733,13414
268,852189679701164033,1652,11730
269,848324959059550208,4819,25520
270,839549326359670784,8276,28701
271,841077006473256960,5631,23811
272,848690551926992896,4530,25980
273,854010172552949760,3256,16488
274,840761248237133825,1861,0
275,838476387338051585,5124,23573
276,843981021012017153,3094,15711
277,838921590096166913,2211,11652
278,850333567704068097,350,3530
279,844704788403113984,10923,40153
280,850019790995546112,5111,21023
281,846505985330044928,3245,14588
282,846514051647705089,12211,46175
283,847606175596138505,3570,19397
284,847116187444137987,3369,22119
285,851464819735769094,7381,24862
286,847962785489326080,5353,24283
287,840268004936019968,6097,20090
288,841439858740625411,3902,13132
289,841314665196081154,4987,16471
290,851224888060895234,5959,21219
291,831315979191906304,1197,6862
292,831650051525054464,2080,7541
293,830173239259324417,6133,0
294,832088576586297345,2,69
295,832397543355072512,2386,12524
296,826204788643753985,1006,5151
297,826240494070030336,2796,14001
298,835309094223372289,22476,0
299,827199976799354881,2419,11131
300,826598365270007810,2534,10614
301,836260088725786625,4583,22226
302,829011960981237760,17478,55730
303,829878982036299777,5398,0
304,827600520311402496,1022,7792
305,829449946868879360,2184,11001
306,825535076884762624,18571,54938
307,828381636999917570,2401,13289
308,832769181346996225,40,0
309,829861396166877184,2103,12854
310,833732339549220864,230,0
311,828650029636317184,1450,9993
312,828361771580813312,183,2307
313,826598799820865537,272,5383
314,835685285446955009,8707,0
315,826848821049180160,11018,38408
316,832215909146226688,6648,0
317,830956169170665475,1607,8362
318,829141528400556032,7978,25752
319,832273440279240704,2502,11860
320,835297930240217089,3206,17187
321,828376505180889089,1147,7764
322,828046555563323392,3086,12374
323,828770345708580865,6319,26900
324,836397794269200385,29528,0
325,831309418084069378,2623,12321
326,834086379323871233,2374,13692
327,834209720923721728,5121,21581
328,831322785565769729,1642,9679
329,827933404142436356,5629,21202
330,828409743546925057,1240,6622
331,832369877331693569,3421,18009
332,828372645993398273,3178,13207
333,832636094638288896,2990,16612
334,834458053273591808,1794,10060
335,836677758902222849,2371,13190
336,832032802820481025,4976,18706
337,831939777352105988,6576,25168
338,835574547218894849,3870,18634
339,832682457690300417,3145,12445
340,826476773533745153,4531,19415
341,832215726631055365,10070,0
342,832998151111966721,2372,13934
343,833124694597443584,5179,21166
344,831262627380748289,2201,12515
345,833863086058651648,2574,14043
346,825147591692263424,4941,19316
347,836001077879255040,4583,19982
348,834167344700198914,3892,16511
349,826115272272650244,3391,16506
350,824796380199809024,5947,0
351,834089966724603904,2274,10524
352,829501995190984704,11427,33393
353,831911600680497154,7003,29031
354,834477809192075265,11427,0
355,835246439529840640,77,2191
356,828801551087042563,3660,0
357,836753516572119041,4925,20099
358,834931633769889797,1764,11328
359,825876512159186944,2022,11036
360,833479644947025920,2215,15579
361,825026590719483904,1377,6703
362,836380477523124226,3163,15403
363,832757312314028032,3880,17645
364,835536468978302976,1820,0
365,832645525019123713,555,3058
366,834786237630337024,5879,22193
367,826615380357632002,4269,0
368,831670449226514432,1945,10972
369,828708714936930305,12098,38509
370,834574053763584002,2710,14324
371,835172783151792128,6136,27343
372,835264098648616962,1820,8096
373,836648853927522308,583,0
374,825829644528148480,2688,13428
375,828408677031882754,1384,8057
376,830097400375152640,3220,10329
377,833826103416520705,3994,18847
378,829374341691346946,10014,36392
379,832040443403784192,10418,0
380,827324948884643840,3303,16709
381,828011680017821696,2315,10899
382,830583320585068544,18079,70269
383,831926988323639298,35,359
384,827653905312006145,3242,16228
385,831552930092285952,2462,9443
386,826958653328592898,5398,22738
387,835152434251116546,3229,23515
388,833722901757046785,3437,21713
389,825120256414846976,1377,0
390,823581115634085888,2863,13779
391,813202720496779264,1960,9768
392,819952236453363712,1283,5634
393,821813639212650496,3623,0
394,824025158776213504,637,5036
395,813130366689148928,485,4754
396,815966073409433600,9237,23824
397,819015331746349057,20561,0
398,823333489516937216,27,735
399,813142292504645637,2568,8970
400,819711362133872643,3398,14253
401,821765923262631936,1808,8904
402,813187593374461952,4761,21086
403,821421320206483457,6064,0
404,816014286006976512,5780,0
405,815390420867969024,4150,11003
406,813157409116065792,2417,8261
407,817908911860748288,859,5132
408,814578408554463233,6315,0
409,820013781606658049,1283,0
410,819227688460238848,7275,24459
411,817415592588222464,1046,5956
412,817120970343411712,2848,12919
413,817056546584727552,1800,9106
414,824663926340194305,1877,10639
415,816829038950027264,5130,0
416,814530161257443328,2024,9201
417,821044531881721856,2485,13414
418,818259473185828864,2483,11691
419,818627210458333184,8099,23530
420,820837357901512704,7275,0
421,817502432452313088,3686,0
422,823719002937630720,12132,0
423,819004803107983360,39897,91871
424,818646164899774465,22669,0
425,821149554670182400,2188,9225
426,822489057087389700,6934,19207
427,822462944365645825,15864,30106
428,813944609378369540,3479,0
429,819015337530290176,39897,0
430,820078625395449857,6830,20992
431,815639385530101762,1791,8727
432,816697700272001025,2400,10410
433,816450570814898180,8832,32464
434,817423860136083457,16258,36245
435,822872901745569793,47467,139915
436,821153421864615936,10,267
437,819924195358416896,5251,13625
438,822244816520155136,10660,37031
439,818588835076603904,6675,0
440,814153002265309185,9458,30588
441,821522889702862852,1923,8491
442,813217897535406080,7964,19857
443,819588359383371776,2138,10137
444,814638523311648768,2953,11976
445,819238181065359361,438,2420
446,822163064745328640,5203,0
447,822975315408461824,3726,18268
448,818145370475810820,2822,13023
449,817827839487737858,29528,54981
450,821107785811234820,2308,10148
451,819347104292290561,1313,7647
452,823939628516474880,2931,11235
453,817171292965273600,2193,9256
454,821886076407029760,2539,12002
455,816336735214911488,2126,9130
456,817181837579653120,9237,0
457,813172488309972993,2085,9920
458,818536468981415936,2693,11565
459,814986499976527872,1407,8122
460,816091915477250048,2349,9477
461,820314633777061888,613,3532
462,820494788566847489,613,0
463,815990720817401858,1133,5309
464,818307523543449600,8832,0
465,821407182352777218,4710,12456
466,823699002998870016,2615,13298
467,813910438903693312,2047,9881
468,824775126675836928,3800,15814
469,818614493328580609,2807,10460
470,816816676327063552,2211,10608
471,816062466425819140,1133,0
472,823322678127919110,4348,16632
473,817536400337801217,3303,12532
474,815736392542261248,2474,10456
475,820749716845686786,10747,33414
476,823269594223824897,10660,0
477,819006400881917954,20561,47883
478,817777686764523521,2908,11352
479,822859134160621569,2475,13986
480,813800681631023104,1918,8873
481,815745968457060357,4501,0
482,813127251579564032,3410,12617
483,820690176645140481,3490,12916
484,822610361945911296,3219,15622
485,824297048279236611,4186,15894
486,820446719150292993,2805,0
487,813812741911748608,15278,38670
488,824325613288833024,11234,12445
489,822647212903690241,6934,0
490,805932879469572096,2089,8818
491,803380650405482500,2025,8271
492,807106840509214720,60712,126583
493,799063482566066176,2695,8621
494,801115127852503040,2283,8624
495,812709060537683968,1556,7049
496,811627233043480576,3403,13616
497,800751577355128832,3033,11204
498,805487436403003392,2769,9341
499,804475857670639616,2196,6542
500,802265048156610565,1491,7042
501,811744202451197953,1750,8036
502,809084759137812480,3827,14066
503,813096984823349248,3922,11209
504,813081950185472002,3020,10507
505,799774291445383169,5117,0
506,805207613751304193,1863,8315
507,805520635690676224,1798,6120
508,798701998996647937,8536,0
509,802185808107208704,290,0
510,807059379405148160,7999,0
511,806542213899489280,2578,10885
512,809448704142938112,1603,7380
513,800855607700029440,1777,0
514,808838249661788160,3320,10761
515,805958939288408065,5883,0
516,804413760345620481,3526,0
517,807010152071229440,4186,13905
518,811985624773361665,1536,7729
519,809808892968534016,5341,0
520,798933969379225600,4890,14042
521,806629075125202948,38060,80082
522,800513324630806528,3286,14022
523,802952499103731712,2199,9632
524,801167903437357056,6497,26144
525,807621403335917568,4013,15515
526,803773340896923648,3029,10710
527,802323869084381190,6366,17315
528,812372279581671427,4003,14575
529,806620845233815552,6028,0
530,804026241225523202,17734,47565
531,810896069567610880,1954,9631
532,812466873996607488,2104,8497
533,812781120811126785,2087,8076
534,806242860592926720,12742,0
535,799757965289017345,2362,8973
536,808001312164028416,3863,13391
537,798705661114773508,7211,0
538,805823200554876929,8787,0
539,801854953262350336,256,1878
540,808344865868283904,22669,45275
541,800859414831898624,104,736
542,800459316964663297,2356,10098
543,801285448605831168,914,6455
544,802624713319034886,3200,0
545,800388270626521089,3073,11893
546,798682547630837760,5163,0
547,798925684722855936,1565,7945
548,808134635716833280,6497,0
549,811647686436880384,809,5939
550,800188575492947969,4313,0
551,811386762094317568,6973,22263
552,803276597545603072,2694,10693
553,798694562394996736,5425,0
554,810984652412424192,1561,5671
555,812503143955202048,1328,6465
556,804738756058218496,4203,14638
557,809920764300447744,4269,16490
558,801127390143516673,4336,0
559,808106460588765185,2400,9318
560,802239329049477120,2848,9674
561,801538201127157760,2243,8741
562,803692223237865472,8129,0
563,800443802682937345,4717,0
564,813051746834595840,7992,22297
565,802572683846291456,2735,9528
566,798686750113755136,2535,0
567,800141422401830912,2805,16340
568,802600418706604034,1609,7587
569,806219024703037440,1303,6847
570,808733504066486276,2369,8422
571,810284430598270976,12433,37730
572,810254108431155201,3660,15630
573,809220051211603969,6133,21223
574,801958328846974976,1867,8230
575,813066809284972545,2115,8473
576,798697898615730177,7114,0
577,805826884734976000,2001,7014
578,799308762079035393,6033,0
579,813112105746448384,3004,10989
580,800018252395122689,14396,30294
581,806576416489959424,2097,5167
582,803638050916102144,4515,11702
583,808501579447930884,2841,12009
584,803321560782307329,5800,0
585,799422933579902976,2093,8586
586,810657578271330305,2890,11677
587,799297110730567681,3027,10579
588,794926597468000259,2522,10976
589,794983741416415232,3690,0
590,789280767834746880,5399,0
591,798209839306514432,2797,11077
592,796759840936919040,3350,12663
593,788070120937619456,3735,0
594,797545162159308800,5305,15482
595,787322443945877504,1908,8309
596,792050063153438720,1973,7657
597,788765914992902144,11248,29271
598,798665375516884993,4253,0
599,787717603741622272,3036,10902
600,791312159183634433,2776,9391
601,788039637453406209,1444,6555
602,798585098161549313,6240,0
603,793210959003287553,3074,9536
604,786729988674449408,2631,0
605,792773781206999040,1834,7837
606,798340744599797760,3668,0
607,796387464403357696,4563,11744
608,791784077045166082,10525,0
609,793195938047070209,6153,16316
610,796484825502875648,1928,8087
611,796116448414461957,2647,9711
612,789903600034189313,4508,11093
613,791821351946420224,22986,0
614,792883833364439040,4681,12076
615,789599242079838210,2117,7222
616,793845145112371200,2052,9831
617,796904159865868288,9704,0
618,796031486298386433,4023,11543
619,795076730285391872,5947,17331
620,798673117451325440,6052,0
621,790723298204217344,2533,0
622,786363235746385920,3817,11615
623,791780927877898241,4161,0
624,787111942498508800,7335,0
625,793120401413079041,4278,13550
626,787397959788929025,3096,11566
627,794355576146903043,11248,0
628,798644042770751489,2026,0
629,791406955684368384,4501,14002
630,789986466051088384,2533,9858
631,794205286408003585,3621,9827
632,787810552592695296,3337,9249
633,793614319594401792,3417,0
634,791774931465953280,24284,48210
635,790946055508652032,5130,17727
636,789314372632018944,2518,9192
637,789960241177853952,4516,0
638,788150585577050112,1424,6554
639,791026214425268224,4493,0
640,786595970293370880,3373,10037
641,789628658055020548,1948,8012
642,792394556390137856,4690,14353
643,789268448748703744,2819,9730
644,796177847564038144,15671,0
645,790698755171364864,2086,8742
646,794332329137291264,2901,10226
647,786963064373534720,8707,28344
648,791672322847637504,3417,12547
649,793180763617361921,2181,7403
650,789530877013393408,3690,12543
651,795400264262053889,3141,10769
652,788908386943430656,13525,29250
653,793226087023144960,3129,10502
654,788412144018661376,5783,16643
655,790337589677002753,2041,8346
656,797165961484890113,29,246
657,793256262322548741,9130,21347
658,792913359805018113,4389,15309
659,790581949425475584,7860,22058
660,793135492858580992,2729,6907
661,790987426131050500,2338,10552
662,793241302385262592,3583,11230
663,788178268662984705,2307,7710
664,796865951799083009,2084,8183
665,796149749086875649,15671,34523
666,786664955043049472,2787,11369
667,793165685325201412,3042,10042
668,797236660651966464,7252,21323
669,790227638568808452,3907,0
670,797971864723324932,3436,12434
671,796080075804475393,2535,9029
672,795464331001561088,26055,53182
673,793286476301799424,10070,26259
674,798628517273620480,2150,0
675,789137962068021249,3055,10355
676,790277117346975746,3479,13392
677,793962221541933056,5341,17946
678,796125600683540480,1954,5277
679,793271401113350145,2591,9232
680,786709082849828864,6648,19369
681,793601777308463104,1785,8513
682,793500921481273345,2602,11417
683,798576900688019456,6394,0
684,793150605191548928,1869,6588
685,786286427768250368,3115,8478
686,788552643979468800,7863,0
687,796563435802726400,7979,0
688,776088319444877312,165,1937
689,784057939640352768,12132,31815
690,778748913645780993,1444,7330
691,775733305207554048,4336,14679
692,777684233540206592,3200,11911
693,780476555013349377,126,0
694,775085132600442880,5117,16481
695,775898661951791106,17807,0
696,776249906839351296,9913,0
697,777641927919427584,4608,0
698,778764940568104960,399,912
699,782021823840026624,6782,0
700,776477788987613185,3026,9380
701,776813020089548800,1315,5175
702,785927819176054784,3453,12107
703,781163403222056960,2976,10381
704,773704687002451968,1757,6986
705,785872687017132033,1987,7117
706,774639387460112384,1871,7117
707,786051337297522688,168,1536
708,772877495989305348,4190,9083
709,776218204058357768,17309,31842
710,783347506784731136,6094,0
711,781524693396357120,6028,22062
712,778383385161035776,1202,6205
713,774757898236878852,1916,9066
714,783085703974514689,2417,8654
715,773922284943896577,1873,6776
716,784517518371221505,2768,9548
717,780800785462489090,1414,5846
718,785170936622350336,5296,12889
719,779056095788752897,4914,15714
720,778650543019483137,1622,6115
721,773191612633579521,4446,10583
722,777189768882946048,4691,15218
723,773670353721753600,1399,5635
724,780092040432480260,2501,0
725,780192070812196864,2430,9257
726,776819012571455488,14913,0
727,784431430411685888,1397,6062
728,778774459159379968,10831,0
729,779834332596887552,7702,20160
730,785515384317313025,1370,6500
731,786036967502913536,7702,0
732,776201521193218049,2730,10180
733,785264754247995392,1780,7739
734,779377524342161408,3383,9370
735,780074436359819264,5422,13014
736,780496263422808064,4034,0
737,777885040357281792,1781,6758
738,780931614150983680,7979,23000
739,783839966405230592,11771,31982
740,782598640137187329,2037,8274
741,778990705243029504,7886,21261
742,783695101801398276,3515,11123
743,785533386513321988,2185,9700
744,784826020293709826,3526,10795
745,773308824254029826,8078,24630
746,778408200802557953,4718,14506
747,781661882474196992,2948,11103
748,783334639985389568,12742,31087
749,786233965241827333,5203,16309
750,782722598790725632,5883,18393
751,777621514455814149,2701,9304
752,785639753186217984,2419,8326
753,778624900596654080,1095,4932
754,781655249211752448,1217,4259
755,782747134529531904,1517,7937
756,782969140009107456,7999,25658
757,773247561583001600,3481,9972
758,777953400541634568,3824,0
759,778286810187399168,3581,11037
760,781308096455073793,2768,7568
761,775364825476165632,3224,7871
762,779124354206535695,19990,0
763,773985732834758656,4194,11376
764,773336787167145985,5510,0
765,781955203444699136,3660,11821
766,778396591732486144,13290,0
767,780543529827336192,1879,6702
768,779123168116150273,3960,12538
769,775729183532220416,4952,13703
770,783391753726550016,5989,17948
771,775842724423557120,2895,12428
772,775350846108426240,4228,10763
773,781251288990355457,2285,8968
774,778027034220126208,1760,6954
775,784183165795655680,8787,21423
776,783821107061198850,2130,7826
777,782305867769217024,6064,17724
778,778039087836069888,2855,8993
779,780459368902959104,1162,5620
780,774314403806253056,6033,23071
781,780601303617732608,3623,12844
